0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
0.18029,0.38984,3.1444,0.0090404,2.3422,-0.37398,3.1562,-0.020754,-0.80618,0.74056,3.1391,0.022615,2.1561,-0.3076,3.1552,-0.018186,0.6549,0.22255,3.147,0.0025065,-0.49745,0.63015,3.1407,0.018367,-1.6227,1.037,3.1352,0.033834,-2.0164,1.183,3.1335,0.039224,0.40784,0.30957,3.1456,0.0059092,2.8464,-0.55528,3.1587,-0.027712
0.21904,0.38512,3.1452,0.0082929,2.3042,-0.38531,3.1542,-0.019633,-0.7322,0.73869,3.1413,0.021008,2.1248,-0.3184,3.1534,-0.01723,0.67685,0.21636,3.1472,0.0021669,-0.43456,0.62744,3.1425,0.017034,-1.519,1.0371,3.1385,0.031479,-1.898,1.1838,3.1373,0.0365,0.43853,0.30415,3.1462,0.0053578,2.7903,-0.56791,3.156,-0.026135
0.25729,0.37964,3.146,0.0075782,2.2652,-0.39473,3.1522,-0.018539,-0.65851,0.73484,3.1433,0.019459,2.0925,-0.32752,3.1518,-0.016296,0.69816,0.20999,3.1474,0.0018462,-0.37202,0.62313,3.1441,0.01575,-1.4154,1.0341,3.1415,0.029218,-1.7797,1.181,3.1408,0.033889,0.46866,0.29825,3.1467,0.0048314,2.7329,-0.57802,3.1535,-0.024604
0.29495,0.37347,3.1468,0.0068953,2.2253,-0.40235,3.1504,-0.017475,-0.58529,0.72917,3.1452,0.017971,2.0593,-0.33506,3.1502,-0.015384,0.71884,0.20346,3.1476,0.001544,-0.30998,0.61734,3.1457,0.014516,-1.3123,1.0284,3.1443,0.027052,-1.6619,1.1751,3.1441,0.031385,0.49817,0.29191,3.1472,0.0043303,2.6747,-0.58577,3.1511,-0.023123
0.33196,0.36666,3.1474,0.0062429,2.1848,-0.40828,3.1488,-0.016442,-0.51273,0.72182,3.1469,0.016546,2.0255,-0.34112,3.1487,-0.014498,0.73885,0.19682,3.1477,0.0012594,-0.24859,0.61021,3.1471,0.013332,-1.2098,1.0202,3.1469,0.024975,-1.5448,1.1663,3.1471,0.028983,0.52703,0.28519,3.1476,0.0038543,2.6159,-0.5913,3.1489,-0.021691
0.36826,0.35929,3.148,0.00562,2.1437,-0.41264,3.1472,-0.015442,-0.44098,0.71294,3.1485,0.015181,1.9912,-0.34577,3.1473,-0.013639,0.7582,0.19009,3.1478,0.00099172,-0.18798,0.60183,3.1483,0.012199,-1.1083,1.0097,3.1493,0.022982,-1.4287,1.1548,3.1499,0.026678,0.55519,0.27813,3.1479,0.0034021,2.5565,-0.59475,3.1468,-0.020304
0.4038,0.35142,3.1485,0.005026,2.1023,-0.41551,3.1457,-0.014472,-0.37019,0.70265,3.15,0.013873,1.9564,-0.34911,3.1459,-0.012805,0.77687,0.18329,3.1479,0.00074045,-0.12827,0.59234,3.1495,0.011116,-1.008,0.99704,3.1515,0.021071,-1.3139,1.1408,3.1524,0.024472,0.58264,0.27077,3.1482,0.002973,2.497,-0.59626,3.1448,-0.018963
0.43853,0.34309,3.149,0.0044607,2.0607,-0.41699,3.1443,-0.013533,-0.30049,0.69109,3.1513,0.012621,1.9214,-0.35122,3.1447,-0.011996,0.79485,0.17645,3.148,0.00050507,-0.069553,0.58183,3.1506,0.010081,-0.90896,0.98243,3.1535,0.019241,-1.2006,1.1245,3.1548,0.022365,0.60934,0.26316,3.1485,0.0025662,2.4374,-0.59596,3.143,-0.017666
0.47241,0.33439,3.1494,0.003924,2.019,-0.41718,3.143,-0.012622,-0.23201,0.67837,3.1525,0.011424,1.8862,-0.35218,3.1435,-0.011211,0.81216,0.16959,3.148,0.00028515,-0.011935,0.57041,3.1515,0.0090916,-0.81152,0.96606,3.1554,0.017493,-1.0891,1.1062,3.1569,0.020353,0.63527,0.25534,3.1488,0.0021813,2.3778,-0.59399,3.1413,-0.016414
0.5054,0.32534,3.1498,0.0034154,1.9773,-0.41617,3.1417,-0.011742,-0.16485,0.66462,3.1536,0.010281,1.851,-0.35206,3.1425,-0.010451,0.82877,0.16273,3.1481,8.0367e-05,0.044501,0.55816,3.1524,0.0081477,-0.7158,0.9481,3.157,0.015826,-0.97946,1.0861,3.1589,0.018431,0.6604,0.24735,3.149,0.0018178,2.3186,-0.59047,3.1397,-0.015209
